Timestamp,SnapshotIndex,ModbusValid,DAQValid,DAQRunning,ECUValid,Modbus_0,Modbus_1,Modbus_2,DAQ_0,DAQ_1,DAQ_2,DAQ_3,DAQ_4,ECU_Throttle,ECU_EngineSpeed,ECU_CylinderTemp,ECU_ExhaustTemp,ECU_AxleTemp,ECU_FuelPressure,ECU_IntakeTemp,ECU_AtmPressure,ECU_FlightTime
0.100,1,0,0,0,1,,,,,,,,,39.70,3972.00,60.00,690.00,34.00,316.00,14.00,47.00,7.00
0.200,2,0,0,0,1,,,,,,,,,44.60,4465.00,72.00,785.00,44.00,356.00,22.00,53.00,7.00
0.300,3,0,1,1,1,,,,-0.013659,-0.018592,-0.018592,0.015940,-0.003792,49.60,4964.00,84.00,875.00,54.00,396.00,28.00,59.00,7.00
0.400,4,0,1,1,1,,,,-0.008726,-0.013659,-0.013659,-0.003792,-0.003792,54.60,5464.00,94.00,965.00,62.00,436.00,36.00,65.00,7.00
0.500,5,0,1,1,1,,,,-0.013659,-0.018592,-0.023525,0.011007,-0.008726,59.50,5958.00,106.00,1055.00,72.00,476.00,42.00,71.00,7.00
0.600,6,1,1,1,1,24.8700,25.3560,24.9223,0.006074,-0.003792,-0.023525,0.011007,0.001141,64.40,6443.00,118.00,1145.00,82.00,514.00,50.00,77.00,7.00
0.800,7,1,1,1,1,24.8700,25.3511,24.9257,-0.003792,-0.008726,-0.008726,0.011007,-0.003792,73.60,7366.00,138.00,1310.00,98.00,588.00,62.00,88.00,7.00
0.900,8,1,1,1,1,24.8700,25.3505,24.9227,-0.008726,-0.013659,-0.018592,0.030740,-0.008726,77.90,7794.00,148.00,1390.00,108.00,622.00,68.00,93.00,7.00
1.000,9,1,1,1,1,24.8765,25.3502,24.9209,-0.013659,-0.018592,-0.023525,0.011007,-0.008726,77.90,7794.00,148.00,1390.00,108.00,622.00,68.00,93.00,7.00
1.100,10,1,1,1,1,24.8788,25.3501,24.9203,-0.008726,-0.013659,-0.018592,0.020874,-0.008726,81.90,8194.00,158.00,1465.00,114.00,654.00,74.00,98.00,7.00
1.200,11,1,1,1,1,24.8795,25.3500,24.9201,-0.008726,-0.008726,-0.008726,0.011007,-0.003792,85.60,8562.00,166.00,1530.00,122.00,684.00,78.00,102.00,7.00
1.300,12,1,1,1,1,24.8798,25.3500,24.9201,-0.003792,-0.013659,-0.018592,0.006074,-0.008726,88.90,8894.00,174.00,1590.00,128.00,710.00,84.00,106.00,7.00
1.400,13,1,1,1,1,24.8799,25.3548,24.9200,-0.008726,-0.013659,-0.018592,0.025807,-0.008726,91.80,9188.00,180.00,1645.00,134.00,734.00,88.00,110.00,7.00
1.500,14,1,1,1,1,24.8751,25.3578,24.9200,-0.008726,-0.018592,-0.018592,0.006074,-0.008726,94.40,9439.00,186.00,1690.00,138.00,754.00,92.00,113.00,7.00
