Timestamp,SnapshotIndex,ModbusValid,DAQValid,DAQRunning,ECUValid,Modbus_0,Modbus_1,Modbus_2,DAQ_0,DAQ_1,DAQ_2,DAQ_3,DAQ_4,ECU_Throttle,ECU_EngineSpeed,ECU_CylinderTemp,ECU_ExhaustTemp,ECU_AxleTemp,ECU_FuelPressure,ECU_IntakeTemp,ECU_AtmPressure,ECU_FlightTime
0.000,1,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.028458,-0.038325,0.001141,-0.018592,,,,,,,,,
0.000,2,1,1,1,0,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.028458,-0.038325,0.001141,-0.018592,,,,,,,,,
0.100,3,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.028458,-0.038325,0.001141,-0.018592,47.00,4708.00,78.00,825.00,48.00,376.00,24.00,56.00,0.00
0.200,4,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.028458,-0.038325,0.001141,-0.018592,42.10,4211.00,66.00,735.00,40.00,336.00,18.00,50.00,0.00
0.300,5,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.023525,-0.028458,-0.033392,0.001141,-0.018592,37.20,3722.00,54.00,645.00,30.00,296.00,12.00,44.00,0.00
0.400,6,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.028458,-0.033392,-0.003792,-0.018592,32.40,3246.00,44.00,560.00,20.00,258.00,4.00,38.00,0.00
0.500,7,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.023525,-0.028458,-0.033392,0.001141,-0.018592,27.80,2787.00,34.00,475.00,12.00,222.00,-2.00,33.00,0.00
0.600,8,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.033392,0.001141,-0.018592,23.50,2350.00,24.00,395.00,4.00,188.00,-8.00,28.00,0.00
0.700,9,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.033392,0.001141,-0.018592,19.40,1940.00,14.00,320.00,-4.00,154.00,-14.00,23.00,0.00
0.800,10,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.033392,0.001141,-0.018592,15.60,1561.00,4.00,250.00,-12.00,124.00,-20.00,18.00,0.00
0.900,11,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.028458,-0.033392,0.001141,-0.018592,12.10,1215.00,-4.00,190.00,-18.00,96.00,-24.00,14.00,0.00
1.000,12,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.028458,-0.033392,0.001141,-0.018592,9.00,908.00,-10.00,135.00,-24.00,72.00,-28.00,10.00,0.00
1.100,13,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.023525,-0.023525,-0.028458,-0.003792,-0.018592,9.00,908.00,-10.00,135.00,-24.00,72.00,-28.00,10.00,0.00
1.200,14,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.028458,0.001141,-0.018592,6.40,642.00,-16.00,85.00,-28.00,50.00,-32.00,7.00,0.00
1.300,15,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.028458,0.001141,-0.023525,4.10,419.00,-22.00,45.00,-34.00,32.00,-36.00,5.00,0.00
1.400,16,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.023525,-0.028458,-0.028458,0.001141,-0.018592,2.40,241.00,-26.00,10.00,-36.00,18.00,-38.00,2.00,0.00
1.500,17,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.028458,-0.003792,-0.018592,1.10,112.00,-28.00,-10.00,-38.00,8.00,-40.00,1.00,0.00
1.600,18,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.028458,-0.028458,0.001141,-0.018592,0.30,31.00,-30.00,-25.00,-40.00,2.00,-40.00,0.00,0.00
1.700,19,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.028458,-0.003792,-0.013659,0.00,0.00,-30.00,-30.00,-40.00,0.00,-40.00,0.00,0.00
1.800,20,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.023525,-0.003792,-0.018592,0.10,19.00,-30.00,-30.00,-40.00,0.00,-40.00,0.00,0.00
1.900,21,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.028458,-0.003792,-0.018592,0.80,87.00,-28.00,-15.00,-40.00,6.00,-40.00,1.00,0.00
2.000,22,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.028458,-0.003792,-0.018592,2.00,205.00,-26.00,5.00,-38.00,16.00,-38.00,2.00,0.00
2.100,23,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.028458,-0.003792,-0.018592,3.70,370.00,-22.00,35.00,-34.00,28.00,-36.00,4.00,0.00
2.200,24,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.028458,-0.003792,-0.018592,3.70,370.00,-22.00,35.00,-34.00,28.00,-36.00,4.00,0.00
2.300,25,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.033392,0.001141,-0.018592,5.80,582.00,-18.00,75.00,-30.00,46.00,-32.00,6.00,0.00
2.400,26,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.013659,-0.023525,-0.028458,0.001141,-0.018592,8.30,838.00,-12.00,120.00,-26.00,66.00,-30.00,10.00,0.00
2.500,27,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.028458,-0.028458,0.001141,-0.018592,11.30,1136.00,-4.00,175.00,-20.00,90.00,-26.00,13.00,0.00
2.600,28,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.028458,-0.003792,-0.018592,14.70,1472.00,2.00,235.00,-14.00,116.00,-20.00,17.00,0.00
2.700,29,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.023525,-0.003792,-0.018592,18.40,1843.00,12.00,305.00,-6.00,146.00,-16.00,22.00,0.00
2.800,30,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.028458,0.001141,-0.013659,22.40,2246.00,20.00,380.00,2.00,178.00,-10.00,26.00,0.00
2.900,31,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.028458,-0.003792,-0.018592,26.70,2676.00,30.00,455.00,10.00,214.00,-4.00,32.00,0.00
3.000,32,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.028458,0.001141,-0.018592,31.30,3130.00,42.00,540.00,18.00,250.00,2.00,37.00,0.00
3.100,33,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.018592,-0.028458,0.001141,-0.013659,36.00,3602.00,52.00,625.00,28.00,288.00,10.00,43.00,0.00
3.200,34,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.028458,0.001141,-0.018592,40.80,4089.00,64.00,715.00,36.00,326.00,16.00,49.00,0.00
3.300,35,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.028458,0.001141,-0.018592,45.80,4584.00,74.00,805.00,46.00,366.00,24.00,55.00,0.00
3.400,36,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.028458,-0.003792,-0.018592,45.80,4584.00,74.00,805.00,46.00,366.00,24.00,55.00,0.00
3.500,37,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.028458,0.001141,-0.018592,50.80,5084.00,86.00,895.00,56.00,406.00,30.00,61.00,0.00
3.600,38,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.028458,-0.003792,-0.018592,55.80,5582.00,98.00,985.00,66.00,446.00,38.00,66.00,0.00
3.700,39,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.028458,-0.003792,-0.023525,60.70,6075.00,108.00,1075.00,74.00,486.00,44.00,72.00,0.00
3.800,40,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.023525,-0.003792,-0.018592,65.50,6557.00,120.00,1165.00,84.00,524.00,50.00,78.00,0.00
3.900,41,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.028458,0.001141,-0.018592,70.20,7024.00,130.00,1250.00,92.00,560.00,58.00,84.00,0.00
4.000,42,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.028458,-0.003792,-0.018592,74.70,7470.00,140.00,1330.00,100.00,596.00,64.00,89.00,0.00
4.100,43,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.028458,0.001141,-0.013659,78.90,7892.00,150.00,1410.00,108.00,630.00,70.00,94.00,0.00
4.200,44,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.018592,-0.023525,0.001141,-0.018592,82.80,8284.00,160.00,1480.00,116.00,662.00,74.00,99.00,0.00
4.300,45,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.023525,0.001141,-0.018592,86.40,8644.00,168.00,1545.00,124.00,690.00,80.00,103.00,0.00
4.500,46,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.018592,-0.023525,0.001141,-0.018592,89.60,8968.00,176.00,1605.00,130.00,716.00,84.00,107.00,0.00
4.600,47,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.023525,0.001141,-0.018592,92.50,9252.00,182.00,1655.00,134.00,740.00,88.00,111.00,0.00
4.700,48,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.023525,0.001141,-0.018592,94.90,9493.00,188.00,1700.00,140.00,758.00,92.00,113.00,0.00
4.800,49,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.013659,-0.023525,-0.023525,0.001141,-0.018592,96.90,9690.00,192.00,1735.00,144.00,774.00,94.00,116.00,0.00
4.900,50,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.018592,-0.023525,-0.003792,-0.018592,98.40,9839.00,196.00,1765.00,146.00,786.00,96.00,118.00,0.00
5.000,51,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.018592,-0.023525,-0.023525,-0.003792,-0.018592,99.40,9940.00,198.00,1780.00,148.00,794.00,98.00,119.00,0.00
5.100,52,1,1,1,1,-9999.0000,-9999.0000,-9999.0000,-0.013659,-0.018592,-0.023525,0.001141,-0.013659,99.90,9992.00,198.00,1790.00,148.00,798.00,98.00,119.00,0.00
